source_id,source_telescope,disposition,period,period_err_upper,period_err_lower,duration,duration_err_upper,duration_err_lower,transit_midpoint,transit_midpoint_err_upper,transit_midpoint_err_lower,depth,depth_err_upper,depth_err_lower,planet_radius,planet_radius_err_upper,planet_radius_err_lower,equilibrium_temp,insolation_flux,stellar_magnitude,stellar_temp,stellar_temp_err_upper,stellar_temp_err_lower,stellar_radius,stellar_radius_err_upper,stellar_radius_err_lower,stellar_logg,stellar_logg_err_upper,stellar_logg_err_lower,ra,dec
K00317.02,KOI,CANDIDATE,11.505879,0.0002263,-0.0002263,5.583,0.516,-0.516,136.2363,0.0173,-0.0173,49.8,4.8,-4.8,0.99,0.17,-0.09,1000.0,236.35,12.885,6336.0,113.0,-139.0,1.403,0.245,-0.132,4.266,0.063,-0.117,298.81638,43.998039
K00533.02,KOI,CONFIRMED,3.52467888,3.044e-05,-3.044e-05,2.484,0.136,-0.136,131.63994,0.00687,-0.00687,129.7,12.7,-12.7,1.46,0.31,-0.2,1098.0,344.61,14.68,5372.0,160.0,-160.0,0.916,0.194,-0.129,4.434,0.112,-0.154,280.64136,47.751942
K00534.01,KOI,CONFIRMED,6.400157105,9.02e-06,-9.02e-06,2.0004,0.0418,-0.0418,174.02214,0.0011,-0.0011,743.2,17.4,-17.4,2.52,0.37,-0.22,810.0,101.72,14.613,5299.0,159.0,-143.0,0.766,0.113,-0.066,4.597,0.032,-0.097,298.66373,47.762039
K00583.01,KOI,CONFIRMED,2.437029217,5.017e-06,-5.017e-06,3.2005,0.052,-0.052,170.73808,0.0017,-0.0017,244.0,5.8,-5.8,2.04,0.34,-0.41,1513.0,1237.66,14.573,5573.0,75.0,-75.0,1.329,0.218,-0.266,4.177,0.203,-0.101,286.00494,45.480389
K00584.01,KOI,CONFIRMED,9.9267215,1.163e-05,-1.163e-05,3.8428,0.0379,-0.0379,175.68671,0.000912,-0.000912,725.5,8.0,-8.0,2.76,0.38,-0.23,803.0,98.34,14.129,5475.0,109.0,-109.0,0.982,0.137,-0.08,4.43,0.081,-0.108,287.91791,45.592869
K00584.02,KOI,CONFIRMED,21.22349325,4.85e-05,-4.85e-05,4.9416,0.0818,-0.0818,170.37387,0.00192,-0.00192,582.9,10.4,-10.4,2.63,0.37,-0.21,623.0,35.69,14.129,5475.0,109.0,-109.0,0.982,0.137,-0.08,4.43,0.081,-0.108,287.91791,45.592869
K00584.03,KOI,CONFIRMED,6.47027706,4.536e-05,-4.536e-05,3.343,0.139,-0.139,136.50567,0.00582,-0.00582,116.9,7.1,-7.1,1.15,0.16,-0.1,926.0,173.79,14.129,5475.0,109.0,-109.0,0.982,0.137,-0.08,4.43,0.081,-0.108,287.91791,45.592869
K00585.01,KOI,CONFIRMED,3.722158895,3.79e-06,-3.79e-06,1.9941,0.0311,-0.0311,171.560055,0.000814,-0.000814,757.4,12.8,-12.8,2.33,0.53,-0.21,1046.0,283.28,14.911,5617.0,152.0,-152.0,0.806,0.182,-0.073,4.574,0.038,-0.152,291.35464,45.747898
K00431.02,KOI,CONFIRMED,46.9026431,0.0001511,-0.0001511,3.9264,0.0803,-0.0803,154.30327,0.00274,-0.00274,821.3,21.8,-21.8,2.6,0.49,-0.36,458.0,10.44,14.262,5402.0,175.0,-159.0,0.865,0.164,-0.119,4.452,0.126,-0.14,282.46051,48.257118
K00432.01,KOI,CONFIRMED,5.263415218,3.366e-06,-3.366e-06,2.1446,0.0461,-0.0461,174.351207,0.000487,-0.000487,1030.7,10.5,-10.5,3.77,1.31,-0.44,1103.0,349.4,14.279,6099.0,171.0,-214.0,1.028,0.358,-0.119,4.456,0.056,-0.224,290.74768,48.242008
K00433.01,KOI,CONFIRMED,4.030466786,1.574e-06,-1.574e-06,2.7734,0.0149,-0.0149,171.092308,0.000301,-0.000301,2908.3,14.8,-14.8,4.48,0.42,-0.21,970.0,209.11,14.924,5234.0,103.0,-103.0,0.854,0.08,-0.04,4.542,0.028,-0.083,298.55084,48.332451
K01437.02,KOI,FALSE POSITIVE,9.27989,0.0002336,-0.0002336,3.33,0.72,-0.72,133.7457,0.0194,-0.0194,164.3,24.1,-24.1,1.29,0.4,-0.16,897.0,152.86,15.28,6052.0,163.0,-199.0,0.967,0.304,-0.121,4.456,0.07,-0.21,284.84662,49.692402
K00433.02,KOI,CONFIRMED,328.240201,0.0003583,-0.0003583,12.2726,0.0671,-0.0671,199.203375,0.000858,-0.000858,13889.0,52.2,-52.2,10.99,1.03,-0.51,224.0,0.59,14.924,5234.0,103.0,-103.0,0.854,0.08,-0.04,4.542,0.028,-0.083,298.55084,48.332451
K00434.01,KOI,FALSE POSITIVE,22.264806569,5.42e-06,-5.42e-06,8.7941,0.0137,-0.0137,173.103028,0.000196,-0.000196,19373.0,28.4,-28.4,12.34,3.3,-1.11,585.0,27.79,14.626,5681.0,169.0,-152.0,0.813,0.218,-0.073,4.566,0.042,-0.179,288.6925,49.72353
K00489.01,KOI,FALSE POSITIVE,2.217038096,3.103e-06,-3.103e-06,1.8575,0.0487,-0.0487,171.69587,0.00114,-0.00114,543.7,12.8,-12.8,3.23,1.0,-0.35,1697.0,1956.29,14.613,6521.0,155.0,-252.0,1.276,0.395,-0.141,4.352,0.052,-0.195,291.54099,37.816559
K00489.02,KOI,FALSE POSITIVE,8.874603,0.0002549,-0.0002549,2.88,0.668,-0.668,140.2954,0.0244,-0.0244,93.3,21.2,-21.2,1.24,0.77,-0.18,1070.0,309.5,14.613,6517.0,168.0,-286.0,1.278,0.782,-0.187,4.349,0.065,-0.353,291.54099,37.816559
K00490.01,KOI,CONFIRMED,4.393157678,5.485e-06,-5.485e-06,2.4455,0.0343,-0.0343,172.867528,0.000991,-0.000991,447.2,7.8,-7.8,1.41,0.11,-0.04,807.0,99.9,14.023,4799.0,95.0,-95.0,0.692,0.054,-0.021,4.631,0.012,-0.048,292.65842,38.34539
K02583.02,KOI,FALSE POSITIVE,251.7512,0.002883,-0.002883,4.314,0.436,-0.436,271.06864,0.00693,-0.00693,114.3,18.6,-18.6,1.25,0.18,-0.08,272.0,1.29,12.623,5640.0,101.0,-113.0,0.921,0.131,-0.061,4.492,0.045,-0.113,283.42911,47.59251
K00082.01,KOI,CONFIRMED,16.145671932,7.44e-06,-7.44e-06,3.7236,0.025,-0.025,134.754877,0.000394,-0.000394,941.1,4.2,-4.2,2.48,0.16,-0.1,546.0,20.98,11.492,4900.0,98.0,-98.0,0.741,0.048,-0.03,4.602,0.017,-0.049,281.48273,47.208031
K00490.02,KOI,CONFIRMED,1071.232624,0.0006435,-0.0006435,16.1784,0.0498,-0.0498,420.286557,0.000452,-0.000452,19046.0,36.1,-36.1,9.27,0.73,-0.28,129.0,0.07,14.023,4799.0,95.0,-95.0,0.692,0.054,-0.021,4.631,0.012,-0.048,292.65842,38.34539
K00534.02,KOI,CONFIRMED,2.735900074,4.502e-06,-4.502e-06,1.9359,0.0432,-0.0432,171.0964,0.00128,-0.00128,428.9,11.2,-11.2,1.56,0.24,-0.13,1075.0,315.95,14.613,5299.0,159.0,-143.0,0.766,0.113,-0.066,4.597,0.032,-0.097,298.66373,47.762039
K00535.01,KOI,CONFIRMED,5.852968845,4.978e-06,-4.978e-06,4.5973,0.0315,-0.0315,171.181624,0.00065,-0.00065,1146.5,8.7,-8.7,3.46,1.13,-0.38,1056.0,293.93,14.434,6050.0,181.0,-199.0,1.013,0.333,-0.111,4.45,0.07,-0.21,296.38553,48.233452
K00536.01,KOI,CONFIRMED,81.1701587,0.0003838,-0.0003838,8.358,0.216,-0.216,178.58702,0.0033,-0.0033,1183.2,26.3,-26.3,4.71,0.81,-0.89,436.0,8.55,14.499,5460.0,81.0,-65.0,1.165,0.2,-0.22,4.263,0.186,-0.124,286.02402,48.43177
K03191.02,KOI,FALSE POSITIVE,371.17573,0.02868,-0.02868,8.2,1.8,-1.8,458.7146,0.0533,-0.0533,133.7,14.0,-14.0,4.07,1.23,-1.85,610.0,32.64,11.471,9030.0,251.0,-466.0,3.218,0.977,-1.466,3.822,0.351,-0.162,290.81604,47.682892
K00537.01,KOI,CONFIRMED,2.820190603,3.592e-06,-3.592e-06,2.554,0.0354,-0.0354,170.787705,0.000973,-0.000973,467.5,8.4,-8.4,2.53,0.4,-0.27,1367.0,824.92,14.665,5831.0,78.0,-78.0,1.121,0.178,-0.118,4.359,0.095,-0.116,285.79068,48.683262
